Batch #,Date Started,Flavor,1F Vessel,2F Vessel,Final Vol,pH Start,pH Final,Carbonation PSI,Notes
001,2025-04-01,LimeAid,Kettle 1,Conical A,5 gal,3.88,2.95,15 @ 38°F,Bright citrusy flavor
002,2025-04-01,POG,Kettle 1,Conical B,5 gal,3.88,2.9,15.5 @ 38°F,Tropical and tart
